brand,config,drivetrain,exterior_color,interior_color,mileage,model,price,transmission,year
Jeep,Sport,4x4/4-wheel drive,Silver,Black,9534,Wrangler,26394,Manual,2018
Jeep,Backcountry,4x4/4-wheel drive,White,Black,46800,Wrangler,28944,Automatic,2016
Jeep,Sport,4x4/4-wheel drive,Black,Black,17499,Wrangler,27058,Automatic,2017
Jeep,Sport,4x4/4-wheel drive,Gray,Black,6559,Wrangler,32000,Automatic,2019
Jeep,Sport,4x4/4-wheel drive,Black,Black,69815,Wrangler,18286,Manual,2012
Jeep,Unlimited Rubicon,4x4/4-wheel drive,Green,Beige,84942,Wrangler,21694,Manual,2008
Jeep,Sport,4x4/4-wheel drive,Blue,Gray,119412,Wrangler,12995,Manual,2000
Jeep,Rubicon,4x4/4-wheel drive,Gray,Black,37872,Wrangler,28997,Automatic,2014
Jeep,Unlimited,4x4/4-wheel drive,Beige,Beige,68856,Wrangler,23995,Automatic,2005
Jeep,Sport,4x4/4-wheel drive,Red,Black,44123,Wrangler,22900,Automatic,2015
Jeep,Sport,4x4/4-wheel drive,White,Black,64718,Wrangler,20998,Manual,2013
Jeep,Sport,4x4/4-wheel drive,Blue,Black,32388,Wrangler,25000,Automatic,2016
Jeep,Sport,4x4/4-wheel drive,Black,Black,31572,Wrangler,,Automatic,2015
Jeep,Sport,4x4/4-wheel drive,Yellow,Black,15695,Wrangler,34991,Automatic,2019
Jeep,Sport S,4x4/4-wheel drive,Gray,Black,78,Wrangler,33995,Automatic,2018
Jeep,Sport,4x4/4-wheel drive,Black,Black,31572,Wrangler,26300,Automatic,2015
Jeep,Sahara,4x4/4-wheel drive,Red,Other,148353,Wrangler,12988,Automatic,2008
Jeep,X,4x4/4-wheel drive,Black,Gray,197723,Wrangler,10991,Manual,2009
Jeep,Rubicon,4x4/4-wheel drive,Silver,Black,84349,Wrangler,24977,Automatic,2014
Jeep,Sport,4x4/4-wheel drive,Black,Black,60251,Wrangler,20348,Manual,2012
Jeep,Sport,4x4/4-wheel drive,Black,Black,19922,Wrangler,25998,Manual,2016
Jeep,Rubicon,4x4/4-wheel drive,Gray,Black,9198,Wrangler,36978,Automatic,2017
Jeep,Sport,4x4/4-wheel drive,White,Black,61162,Wrangler,,Manual,2013
Jeep,Unlimited Sahara,4x4/4-wheel drive,Silver,Gray,144241,Wrangler,13777,Automatic,2008
Jeep,Willys Wheeler,4x4/4-wheel drive,Yellow,Black,40703,Wrangler,21687,Automatic,2015
Jeep,Unlimited Sahara,4x4/4-wheel drive,Blue,Gray,58187,Wrangler,22658,Manual,2008
Jeep,X,4x4/4-wheel drive,Silver,Black,93332,Wrangler,,Automatic,2006
Jeep,Sport,4x4/4-wheel drive,Silver,Black,33960,Wrangler,26000,Automatic,2017
Jeep,Sport,4x4/4-wheel drive,Yellow,Black,11109,Wrangler,21995,Automatic,2013
