brand,config,drivetrain,exterior_color,interior_color,mileage,model,price,transmission,year
GMC,1500 SLE,RWD,Silver,Black,13528,Sierra,29490,Automatic,2016
GMC,1500 SLE,4x4/4-wheel drive,Black,Black,124790,Sierra,,Automatic,2012
GMC,1500 SLT,4x4/4-wheel drive,Black,Black,58272,Sierra,,Automatic,2017
GMC,1500 SLT,4x4/4-wheel drive,Gray,Black,37683,Sierra,36189,Automatic,2015
GMC,1500 Denali,RWD,Gray,Black,20649,Sierra,38700,Automatic,2016
GMC,1500 SLE,4x4/4-wheel drive,White,Beige,32827,Sierra,34942,Automatic,2018
GMC,1500 Denali,4x4/4-wheel drive,Gray,Black,64700,Sierra,36069,Automatic,2016
GMC,1500 SLT,4x4/4-wheel drive,White,Black,23187,Sierra,38675,Automatic,2017
GMC,1500 SLT,4x4/4-wheel drive,Black,Black,98394,Sierra,27636,Automatic,2015
GMC,1500 SLE,4x4/4-wheel drive,White,Gray,119519,Sierra,19800,Automatic,2012
GMC,1500 Denali,4x4/4-wheel drive,Black,Black,51129,Sierra,,Automatic,2017
GMC,1500 SLT,4x4/4-wheel drive,Red,Beige,30095,Sierra,39200,Automatic,2018
GMC,1500 SLE,RWD,White,Black,118441,Sierra,16992,Automatic,2013
GMC,1500 SLT,RWD,Silver,Black,30340,Sierra,33500,Automatic,2016
GMC,1500 SLE,4x4/4-wheel drive,Black,Black,10941,Sierra,36000,Automatic,2018
GMC,1500 SLE,4x4/4-wheel drive,Black,Black,7728,Sierra,36500,Automatic,2018
GMC,1500 SLE,4x4/4-wheel drive,White,Black,35991,Sierra,26989,Automatic,2016
GMC,1500 SLT,4x4/4-wheel drive,Black,Black,60037,Sierra,32489,Automatic,2015
GMC,1500 SLE,RWD,Red,Beige,97727,Sierra,22950,Automatic,2017
GMC,1500 SLT,RWD,Gray,Black,70920,Sierra,27777,Automatic,2016
GMC,1500 Base,RWD,White,Black,16862,Sierra,22821,Automatic,2018
GMC,1500 Base,RWD,White,Black,2425,Sierra,22997,Automatic,2018
GMC,1500 SLT,RWD,White,Brown,15260,Sierra,35980,Automatic,2018
GMC,1500 Denali,4x4/4-wheel drive,Black,Black,37695,Sierra,42546,Automatic,2017
GMC,1500 Denali,RWD,White,Beige,125385,Sierra,19600,Automatic,2013
GMC,1500 SLE,4x4/4-wheel drive,Black,Black,36887,Sierra,27989,Automatic,2016
GMC,1500 SLT,4x4/4-wheel drive,Black,Black,90524,Sierra,,Automatic,2015
GMC,1500 Base,RWD,White,Black,5696,Sierra,22996,Automatic,2018
GMC,1500 SLT,4x4/4-wheel drive,Black,Black,18600,Sierra,40990,Automatic,2017
GMC,1500,RWD,White,Black,30274,Sierra,19000,Automatic,2017
GMC,1500 Base,RWD,White,Black,8956,Sierra,20250,Automatic,2018
GMC,1500 SLE,RWD,White,Black,12681,Sierra,,Automatic,2017
GMC,1500 SLT,4x4/4-wheel drive,Gray,Black,41321,Sierra,36000,Automatic,2015
GMC,1500 SLT,4x4/4-wheel drive,White,Black,14032,Sierra,37495,Automatic,2016
GMC,1500 SLE Extended Cab,4x4/4-wheel drive,White,Gray,103632,Sierra,9900,Automatic,2003
GMC,1500 Denali,4x4/4-wheel drive,White,Black,46144,Sierra,40988,Automatic,2016
GMC,1500 SLT,4x4/4-wheel drive,Red,Black,25986,Sierra,32976,Automatic,2015
GMC,1500 SLE,4x4/4-wheel drive,Red,Black,63430,Sierra,25740,Automatic,2017
GMC,1500 SLE,4x4/4-wheel drive,White,Black,11714,Sierra,32988,Automatic,2016
GMC,1500 SLE,4x4/4-wheel drive,Other,Other,59928,Sierra,23787,Automatic,2013
GMC,1500 Denali,4x4/4-wheel drive,Gray,Black,49054,Sierra,38977,Automatic,2016
GMC,1500 Denali,4x4/4-wheel drive,White,Brown,24120,Sierra,36500,Automatic,2015
GMC,1500 SLT,4x4/4-wheel drive,White,Brown,42057,Sierra,36589,Automatic,2016
GMC,1500 Denali,4x4/4-wheel drive,Black,Black,53762,Sierra,36728,Automatic,2016
GMC,1500 SLT,4x4/4-wheel drive,Brown,Beige,56325,Sierra,26995,Automatic,2014
GMC,1500 SLT,4x4/4-wheel drive,White,Brown,70839,Sierra,31447,Automatic,2017
GMC,1500 Base,4x4/4-wheel drive,Black,Gray,106113,Sierra,19800,Automatic,2016
GMC,1500 Base,4x4/4-wheel drive,Black,Other,58982,Sierra,25590,Automatic,2017
GMC,1500 SLE,4x4/4-wheel drive,White,Black,177743,Sierra,12490,Automatic,2013
GMC,1500 SLE,RWD,White,Black,28524,Sierra,21590,Automatic,2011
GMC,1500 SLT,4x4/4-wheel drive,White,Beige,43869,Sierra,32879,Automatic,2015
GMC,1500 SLE,4x4/4-wheel drive,Gray,Black,59670,Sierra,23997,Automatic,2014
GMC,1500,RWD,Black,Black,37747,Sierra,28050,Automatic,2017
GMC,1500 SLE,4x4/4-wheel drive,Silver,Gray,40507,Sierra,29000,Automatic,2015
GMC,1500 SLE,4x4/4-wheel drive,White,Black,54895,Sierra,25976,Automatic,2014
GMC,1500 SLT,4x4/4-wheel drive,White,Beige,3108,Sierra,49498,Automatic,2019
GMC,1500 SLT,4x4/4-wheel drive,Black,Black,18902,Sierra,32878,Automatic,2015
GMC,1500 SLE,4x4/4-wheel drive,Gray,Beige,55065,Sierra,28250,Automatic,2014
GMC,1500 SLE,4x4/4-wheel drive,White,Black,24727,Sierra,30549,Automatic,2016
GMC,1500 SLE,4x4/4-wheel drive,Gray,Gray,20338,Sierra,31999,Automatic,2016
GMC,1500 SLT,4x4/4-wheel drive,Blue,Black,48992,Sierra,,Automatic,2017
GMC,1500 Denali,4x4/4-wheel drive,Black,Black,76590,Sierra,33731,Automatic,2016
GMC,1500 SLT,RWD,Black,Black,36884,Sierra,28495,Automatic,2015
GMC,1500 Denali,AWD,Black,Black,60918,Sierra,24998,Automatic,2011
GMC,1500 SLE,4x4/4-wheel drive,Red,Black,41499,Sierra,28700,Automatic,2015
GMC,1500 SLT,4x4/4-wheel drive,Black,Black,81463,Sierra,29990,Automatic,2016
GMC,1500 SLE,4x4/4-wheel drive,Gray,Black,14593,Sierra,31305,Automatic,2016
GMC,1500 SLT,4x4/4-wheel drive,Black,Gray,38694,Sierra,32205,Automatic,2016
GMC,1500 SLE,4x4/4-wheel drive,Gray,Black,36479,Sierra,27649,Automatic,2016
GMC,1500 Base,4x4/4-wheel drive,White,Gray,35832,Sierra,26964,Automatic,2015
GMC,1500 SLE,4x4/4-wheel drive,Blue,Black,21945,Sierra,28777,Automatic,2017
GMC,1500 Denali,4x4/4-wheel drive,Black,Other,45591,Sierra,42988,Automatic,2018
GMC,1500 SLT,4x4/4-wheel drive,White,Black,26568,Sierra,31584,Automatic,2015
GMC,1500 SLT,4x4/4-wheel drive,White,Black,35021,Sierra,34694,Automatic,2016
GMC,1500 SLT,4x4/4-wheel drive,Silver,Black,102553,Sierra,24673,Automatic,2014
GMC,1500 SLE,4x4/4-wheel drive,Silver,Black,92177,Sierra,17993,Automatic,2012
GMC,1500 SLE,4x4/4-wheel drive,White,Black,35342,Sierra,29371,Automatic,2016
GMC,1500 SLT,4x4/4-wheel drive,Black,Black,18672,Sierra,35990,Automatic,2018
GMC,1500 Work Truck Extended Cab,4x2/2-wheel drive,White,Gray,157475,Sierra,8600,Automatic,2009
GMC,1500 Base,4x4/4-wheel drive,Black,Gray,28985,Sierra,28500,Automatic,2016
GMC,1500 SLT,4x4/4-wheel drive,Black,Black,58643,Sierra,34400,Automatic,2017
GMC,1500 SLE,4x4/4-wheel drive,Black,Black,26903,Sierra,27500,Automatic,2016
GMC,1500 SLE,4x4/4-wheel drive,Red,Black,23230,Sierra,31958,Automatic,2016
