brand,config,drivetrain,exterior_color,interior_color,mileage,model,price,transmission,year
Toyota,Platinum,4x4/4-wheel drive,Red,Black,11910,Tundra,38999,Automatic,2016
Toyota,SR5,RWD,Black,Gray,50889,Tundra,29980,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Red,Gray,27779,Tundra,31200,Automatic,2018
Toyota,SR5 CrewMax,RWD,Black,Gray,177574,Tundra,11990,Automatic,2007
Toyota,Limited,4x4/4-wheel drive,Black,Beige,92744,Tundra,25995,Automatic,2013
Toyota,Limited,4x4/4-wheel drive,Silver,Gray,15170,Tundra,39494,Automatic,2017
Toyota,Limited,RWD,White,Beige,146163,Tundra,19493,Automatic,2010
Toyota,1794,4x4/4-wheel drive,Black,Black,34442,Tundra,37995,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Beige,Black,32161,Tundra,37357,Automatic,2018
Toyota,Platinum,4x4/4-wheel drive,Red,Black,24114,Tundra,39417,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Black,Gray,49179,Tundra,35523,Automatic,2016
Toyota,Grade,RWD,Black,Other,157785,Tundra,12291,Automatic,2010
Toyota,Base,RWD,Black,Black,61415,Tundra,24449,Automatic,2013
Toyota,TRD Pro,4x4/4-wheel drive,Red,Black,29984,Tundra,38361,Automatic,2017
Toyota,TRD Pro,4x4/4-wheel drive,Gray,Gray,47773,Tundra,35994,Automatic,2016
Toyota,SR5,RWD,Blue,Other,27737,Tundra,,Automatic,2016
Toyota,SR5,RWD,Blue,Gray,22416,Tundra,,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Silver,Black,6469,Tundra,40000,Automatic,2019
Toyota,SR5,4x4/4-wheel drive,Beige,Black,34117,Tundra,,Automatic,2017
Toyota,SR5,RWD,White,Black,41008,Tundra,29800,Automatic,2017
Toyota,Limited,4x4/4-wheel drive,Gray,Black,144148,Tundra,23999,Automatic,2011
Toyota,Limited,4x4/4-wheel drive,White,Black,93547,Tundra,,Automatic,2012
Toyota,SR5,4x4/4-wheel drive,Silver,Gray,2348,Tundra,38099,Automatic,2018
Toyota,SR5,RWD,White,Gray,21047,Tundra,30999,Automatic,2017
Toyota,Limited,RWD,Blue,Other,7557,Tundra,,Automatic,2018
Toyota,Grade,4x4/4-wheel drive,Red,Other,66701,Tundra,,Automatic,2012
Toyota,SR5,4x4/4-wheel drive,Gray,Gray,29564,Tundra,36389,Automatic,2017
Toyota,C,4x4/4-wheel drive,Silver,Gray,70128,Tundra,31997,Automatic,2015
Toyota,SR5,RWD,Other,Other,18635,Tundra,33920,Automatic,2017
Toyota,SR5,4x4/4-wheel drive,Blue,Black,37137,Tundra,39999,Automatic,2017
Toyota,Grade,4x4/4-wheel drive,Red,Gray,85467,Tundra,22490,Automatic,2012
Toyota,SR5,4x4/4-wheel drive,Silver,Gray,52567,Tundra,27980,Automatic,2016
Toyota,Platinum,4x4/4-wheel drive,White,Gray,46937,Tundra,,Automatic,2013
Toyota,TRD Pro,4x4/4-wheel drive,Black,Gray,2693,Tundra,,Automatic,2019
Toyota,TRD Pro,4x4/4-wheel drive,Gray,Black,68777,Tundra,33600,Automatic,2016
Toyota,SR,4x4/4-wheel drive,Black,Gray,43028,Tundra,26450,Automatic,2016
Toyota,Grade,4x4/4-wheel drive,Black,Black,32579,Tundra,27991,Automatic,2013
Toyota,Platinum,4x4/4-wheel drive,Silver,Black,16399,Tundra,43001,Automatic,2018
Toyota,Limited,4x4/4-wheel drive,Black,Black,6401,Tundra,37981,Automatic,2017
Toyota,SR,4x4/4-wheel drive,White,Gray,7726,Tundra,30500,Automatic,2018
Toyota,SR5,4x4/4-wheel drive,Blue,Gray,82293,Tundra,26500,Automatic,2014
Toyota,Platinum,4x4/4-wheel drive,White,Black,30111,Tundra,40930,Automatic,2017
Toyota,Grade,4x4/4-wheel drive,Blue,Gray,86320,Tundra,24960,Automatic,2011
Toyota,Base,4x4/4-wheel drive,White,Gray,89522,Tundra,26462,Automatic,2012
Toyota,SR5,4x4/4-wheel drive,Black,Black,49557,Tundra,30956,Automatic,2015
Toyota,Limited,4x4/4-wheel drive,Gray,Black,11541,Tundra,41779,Automatic,2018
Toyota,SR5,4x4/4-wheel drive,White,Gray,37151,Tundra,26900,Automatic,2016
Toyota,1794,4x4/4-wheel drive,Silver,Black,23862,Tundra,38904,Automatic,2017
Toyota,SR5,4x4/4-wheel drive,Black,Gray,49381,Tundra,31000,Automatic,2017
Toyota,SR5,4x4/4-wheel drive,Gray,Gray,9821,Tundra,38000,Automatic,2017
Toyota,Limited,4x4/4-wheel drive,Gray,Gray,28596,Tundra,,Automatic,2018
Toyota,SR5,4x4/4-wheel drive,Red,Gray,14620,Tundra,,Automatic,2017
Toyota,Grade,4x4/4-wheel drive,Black,Black,83799,Tundra,,Automatic,2013
Toyota,Platinum,RWD,Black,Black,3797,Tundra,46991,Automatic,2018
Toyota,Platinum,4x4/4-wheel drive,Silver,Black,67492,Tundra,35900,Automatic,2014
Toyota,Base,4x4/4-wheel drive,Silver,Beige,101212,Tundra,8990,Automatic,2005
Toyota,SR5,4x4/4-wheel drive,Black,Gray,29320,Tundra,35995,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Silver,Gray,65146,Tundra,,Automatic,2015
Toyota,SR5,RWD,Black,Gray,53814,Tundra,,Automatic,2017
Toyota,SR5,4x4/4-wheel drive,White,Gray,63812,Tundra,30999,Automatic,2017
Toyota,Limited,RWD,Gray,Gray,39303,Tundra,35988,Automatic,2016
Toyota,SR5,RWD,Black,Gray,36581,Tundra,32988,Automatic,2016
Toyota,1794,4x4/4-wheel drive,Black,Brown,28205,Tundra,44988,Automatic,2018
Toyota,Platinum,4x4/4-wheel drive,Silver,Other,19079,Tundra,39944,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Blue,Black,14817,Tundra,35499,Automatic,2016
Toyota,SR5,RWD,Black,Gray,40941,Tundra,25500,Automatic,2014
Toyota,Grade,RWD,Silver,Other,164239,Tundra,13500,Automatic,2011
Toyota,Limited,4x4/4-wheel drive,Black,Gray,59109,Tundra,31995,Automatic,2014
Toyota,Platinum,4x4/4-wheel drive,Red,Black,28503,Tundra,37000,Automatic,2014
Toyota,SR5,4x4/4-wheel drive,Red,Gray,27779,Tundra,31200,Automatic,2018
Toyota,SR5,4x4/4-wheel drive,White,Black,18994,Tundra,35600,Automatic,2016
Toyota,Limited,4x4/4-wheel drive,Gray,Gray,55392,Tundra,35970,Automatic,2016
Toyota,Limited,4x4/4-wheel drive,White,Black,43183,Tundra,35750,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,White,Black,21625,Tundra,36444,Automatic,2016
Toyota,Limited,4x4/4-wheel drive,Red,Gray,66702,Tundra,34500,Automatic,2016
Toyota,SR5,RWD,Red,Gray,14024,Tundra,29930,Automatic,2018
Toyota,SR5,RWD,White,Black,43727,Tundra,25500,Automatic,2014
Toyota,SR5,RWD,Blue,Gray,25888,Tundra,32600,Automatic,2017
Toyota,SR5,4x4/4-wheel drive,Black,Other,7147,Tundra,34740,Automatic,2018
Toyota,Base,4x4/4-wheel drive,Blue,Other,167082,Tundra,11900,Automatic,2008
Toyota,SR,RWD,White,Gray,2973,Tundra,28275,Automatic,2018
Toyota,SR5,RWD,Black,Gray,32692,Tundra,26995,Automatic,2017
Toyota,SR5,4x4/4-wheel drive,Red,Gray,27779,Tundra,31200,Automatic,2018
Toyota,Platinum,4x4/4-wheel drive,White,Black,7688,Tundra,45900,Automatic,2019
Toyota,Limited,RWD,Black,Other,54590,Tundra,27083,Automatic,2012
Toyota,1794,RWD,Brown,Brown,34186,Tundra,35290,Automatic,2016
Toyota,Limited,4x4/4-wheel drive,Black,Black,117842,Tundra,25664,Automatic,2014
Toyota,SR5,RWD,Red,Black,22975,Tundra,35500,Automatic,2016
Toyota,SR5,RWD,Silver,Brown,203510,Tundra,7700,Automatic,2004
Toyota,Limited,4x4/4-wheel drive,Silver,Gray,29540,Tundra,37995,Automatic,2017
Toyota,,4x4/4-wheel drive,White,Gray,26837,Tundra,,Automatic,2016
Toyota,1794,4x4/4-wheel drive,Black,Black,84204,Tundra,31700,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Silver,Black,13179,Tundra,39999,Automatic,2018
Toyota,Grade,4x4/4-wheel drive,Silver,Gray,98893,Tundra,21456,Automatic,2012
Toyota,SR5,4x4/4-wheel drive,White,Gray,51741,Tundra,32102,Automatic,2016
Toyota,SR5,RWD,Gray,Gray,27872,Tundra,27980,Automatic,2016
Toyota,SR5,RWD,Gray,Black,26184,Tundra,,Automatic,2017
Toyota,SR5,RWD,Black,Gray,40762,Tundra,26963,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Red,Gray,27779,Tundra,31200,Automatic,2018
Toyota,1794,4x4/4-wheel drive,Silver,Black,53933,Tundra,36900,Automatic,2015
Toyota,SR5,RWD,Black,Black,21269,Tundra,31820,Automatic,2018
